client_id,company_name,industry,company_size,signup_date,acquisition_channel,acquisition_campaign,lead_id,status,churn_date
C0001,Lakeshore Group,Logistics,11-50,2025-01-22,Paid Social,fb_retarget,L00011,churned,2026-03-03
C0002,Brightpath Realty,Legal,200+,2025-02-01,Paid Search,gs_competitor,L00015,active,
C0003,Vantage Group,Legal,1-10,2025-01-15,Paid Search,gs_latam_talent,L00021,active,
C0004,Clearview Partners,Logistics,51-200,2025-01-14,Paid Search,gs_latam_talent,L00036,churned,2025-05-10
C0005,Blue Harbor Capital,SaaS,11-50,2025-01-22,Referral,partner,L00056,active,
C0006,Oakfield LLC,Legal,1-10,2025-01-18,Paid Search,gs_competitor,L00060,churned,2026-03-25
C0007,Cedar Creek Media,Healthcare,11-50,2025-01-27,Paid Search,gs_latam_talent,L00066,churned,2025-11-10
C0008,Westbrook Solutions,E-commerce,1-10,2025-01-16,Referral,client_referral,L00080,active,
C0009,Silverline Realty,Insurance,51-200,2025-01-16,Outbound,cold_email_q1,L00081,active,
C0010,Oakfield Capital,Real Estate,200+,2025-01-25,Paid Social,li_agency_owners,L00089,churned,2026-07-09
C0011,Westbrook Group,Marketing Agency,1-10,2025-01-18,Referral,client_referral,L00106,active,
C0012,Blue Harbor Partners,E-commerce,1-10,2025-02-01,Paid Search,gs_latam_talent,L00108,active,
C0013,Cedar Creek Realty,Logistics,51-200,2025-02-09,Paid Social,li_agency_owners,L00120,churned,2026-04-13
C0014,Summit Realty,Construction,11-50,2025-01-29,Paid Social,li_agency_owners,L00153,active,
C0015,Westbrook Realty,E-commerce,1-10,2025-02-07,Outbound,cold_email_q1,L00155,active,
C0016,Pinnacle Partners,Healthcare,11-50,2025-02-08,Organic,seo_landing,L00168,active,
C0017,Redstone Solutions,Legal,1-10,2025-02-05,Referral,client_referral,L00169,active,
C0018,Brightpath Capital,Legal,51-200,2025-02-21,Paid Search,gs_latam_talent,L00173,active,
C0019,Silverline Group,SaaS,11-50,2025-02-14,Paid Social,li_agency_owners,L00186,active,
C0020,Brightpath Partners,Legal,200+,2025-02-11,Organic,blog,L00189,active,
C0021,Summit Capital,Real Estate,51-200,2025-02-17,Paid Search,gs_latam_talent,L00211,churned,2025-06-26
C0022,Cedar Creek Solutions,Legal,11-50,2025-03-01,Paid Search,gs_latam_talent,L00221,active,
C0023,Pinnacle Media,SaaS,1-10,2025-02-25,Organic,seo_landing,L00236,active,
C0024,Lakeshore LLC,Real Estate,11-50,2025-02-18,Outbound,cold_email_q2,L00256,active,
C0025,Summit Group,Logistics,1-10,2025-02-13,Referral,client_referral,L00265,active,
C0026,Redstone Media,Legal,11-50,2025-02-24,Paid Search,gs_va_hire,L00270,churned,2026-03-13
C0027,Pinnacle LLC,Legal,1-10,2025-03-03,Paid Search,gs_competitor,L00280,active,
C0028,Ironwood Capital,Logistics,1-10,2025-02-20,Outbound,cold_email_q2,L00289,active,
C0029,Clearview Capital,Real Estate,51-200,2025-02-19,Paid Social,li_agency_owners,L00299,churned,2025-05-17
C0030,Westbrook Capital,Legal,11-50,2025-03-02,Paid Search,gs_va_hire,L00344,churned,2025-11-14
C0031,Lakeshore Solutions,Logistics,200+,2025-02-28,Organic,seo_landing,L00355,active,
C0032,Northgate Solutions,Marketing Agency,51-200,2025-03-07,Paid Search,gs_competitor,L00366,active,
C0033,Oakfield Media,Legal,1-10,2025-03-04,Organic,blog,L00370,active,
