vacancy_id,client_id,role_title,role_family,priority,opened_date,status,filled_date,target_monthly_rate_usd
V00001,C0001,Accounts Payable Clerk,Bookkeeping,Standard,2026-03-15,cancelled,,1800
V00002,C0002,Content Writer,Marketing VA,Standard,2025-02-11,filled,2025-03-05,1800
V00003,C0003,Executive Assistant,Executive VA,Standard,2025-03-03,filled,2025-03-27,1200
V00004,C0004,Appointment Setter,Sales VA,High,2025-02-28,cancelled,,1200
V00005,C0004,Operations Assistant,Executive VA,Standard,2026-07-17,open,,1500
V00006,C0005,Web Developer,Technical,High,2025-05-05,cancelled,,800
V00007,C0006,Operations Assistant,Executive VA,Standard,2025-05-08,filled,2025-05-12,1800
V00008,C0006,Executive Assistant,Executive VA,Standard,2025-04-14,filled,2025-05-08,1200
V00009,C0006,Data Analyst,Technical,Standard,2025-04-26,cancelled,,1500
V00010,C0006,Sales Development Rep,Sales VA,Standard,2025-05-27,filled,2025-06-19,1800
V00011,C0007,Helpdesk Agent,Customer Support,Standard,2025-12-09,cancelled,,1800
V00012,C0008,Appointment Setter,Sales VA,Standard,2025-09-13,cancelled,,2100
V00013,C0008,Automation Specialist,Technical,High,2025-09-13,cancelled,,2100
V00014,C0008,Appointment Setter,Sales VA,Standard,2025-08-01,cancelled,,1200
V00015,C0009,Accounts Payable Clerk,Bookkeeping,Standard,2025-06-04,filled,2025-06-20,800
V00016,C0010,Social Media Manager,Marketing VA,Standard,2026-01-19,filled,2026-01-29,1000
V00017,C0011,Operations Assistant,Executive VA,High,2025-07-16,cancelled,,1200
V00018,C0011,Bookkeeper,Bookkeeping,Standard,2026-04-25,filled,2026-05-25,1800
V00019,C0012,Automation Specialist,Technical,Standard,2025-03-14,filled,2025-03-20,2100
V00020,C0012,Helpdesk Agent,Customer Support,Standard,2026-04-25,filled,2026-05-08,1200
V00021,C0012,Accounts Payable Clerk,Bookkeeping,High,2025-02-05,on_hold,,1200
V00022,C0012,Operations Assistant,Executive VA,Standard,2026-03-03,filled,2026-03-21,1800
V00023,C0012,Customer Support Agent,Customer Support,Standard,2025-12-07,on_hold,,1800
V00024,C0013,Operations Assistant,Executive VA,High,2026-01-28,filled,2026-02-04,1000
V00025,C0013,Cold Caller,Sales VA,Standard,2026-01-01,cancelled,,800
V00026,C0013,Content Writer,Marketing VA,Standard,2026-02-19,filled,2026-03-04,1800
V00027,C0014,Executive Assistant,Executive VA,High,2025-07-01,cancelled,,1800
V00028,C0015,Accounts Payable Clerk,Bookkeeping,High,2025-09-12,filled,2025-09-25,1800
V00029,C0016,Operations Assistant,Executive VA,Urgent,2025-04-26,filled,2025-05-09,1000
V00030,C0016,Automation Specialist,Technical,Standard,2025-12-14,filled,2026-01-13,1200
V00031,C0016,Automation Specialist,Technical,Urgent,2025-07-08,filled,2025-07-28,1200
V00032,C0016,Appointment Setter,Sales VA,Urgent,2026-02-20,cancelled,,2100
V00033,C0016,Content Writer,Marketing VA,Standard,2025-12-23,filled,2026-01-24,1500
V00034,C0017,Appointment Setter,Sales VA,Urgent,2026-06-30,filled,2026-07-10,1000
V00035,C0017,Operations Assistant,Executive VA,Standard,2026-06-21,filled,2026-07-18,1500
V00036,C0017,Operations Assistant,Executive VA,Standard,2025-05-18,cancelled,,1500
V00037,C0017,Customer Support Agent,Customer Support,High,2026-05-13,filled,2026-06-06,1800
V00038,C0018,Customer Support Agent,Customer Support,Standard,2026-01-18,cancelled,,1200
V00039,C0018,Bookkeeper,Bookkeeping,Standard,2025-03-07,on_hold,,1200
V00040,C0019,Operations Assistant,Executive VA,Standard,2025-08-02,cancelled,,1500
V00041,C0019,Social Media Manager,Marketing VA,High,2025-03-26,cancelled,,2100
V00042,C0019,Web Developer,Technical,Standard,2025-06-18,filled,2025-07-07,2100
V00043,C0020,Cold Caller,Sales VA,High,2026-06-16,filled,2026-07-11,800
V00044,C0020,Cold Caller,Sales VA,Standard,2025-08-26,cancelled,,1200
V00045,C0020,Helpdesk Agent,Customer Support,Urgent,2026-04-13,on_hold,,1800
V00046,C0021,Content Writer,Marketing VA,High,2025-06-03,cancelled,,800
V00047,C0021,Cold Caller,Sales VA,Standard,2026-01-04,filled,2026-01-16,800
